prompt_id,request_start,ttft,request_end,successful,ttft_time,is_miss
0,0.00014710426330566406,1.7718586921691895,1.7726407051086426,True,1.7720057964324951,True
1,1.772709608078003,1.5934455394744873,3.366763114929199,True,3.3661551475524902,True
2,3.366839647293091,1.5892252922058105,4.956693410873413,True,4.956064939498901,True
3,4.9567694664001465,1.5903472900390625,6.547743082046509,True,6.547116756439209,True
4,6.547838926315308,1.5896613597869873,8.138188362121582,True,8.137500286102295,True
