prompt_id,request_start,ttft,request_end,successful,is_miss,ttft_time
0,0.00015974044799804688,1.5949480533599854,1.595721960067749,True,False,1.5951077938079834
1,1.5957951545715332,1.5961108207702637,3.1925132274627686,True,False,3.191905975341797
2,3.19258451461792,1.5927097797393799,4.785718202590942,True,False,4.7852942943573
3,4.785757064819336,1.5889837741851807,6.375290393829346,True,False,6.374740839004517
4,6.3753557205200195,1.5913543701171875,7.967191934585571,True,False,7.966710090637207
